2 Enemies weak to everything with 150 Speed (Each enemy performs 1.33 attacks per turn)

Aventurine Metrics,Dr. Ratio | Robin | Aventurine | Topaz,Feixiao | Robin | Aventurine | Topaz,Sword March | Robin | Aventurine | Topaz,Moze | Robin | Aventurine | Topaz,
Turns taken,10,10,11,9,
Skills Used,0,0,0,0,
Basic Attacks Used,10,10,11,9,
Ultimates Used,4,4,4,3,
Leftover AV,33.87,21.82,57.37,14.97,
Leftover Energy,12.00,19.00,19.00,103.00,
Follow up Attacks used,15,15,15,13,
Blind Bet gained,105,108,107,91,
Blind Bet gained from Ally FUA,31,34,34,28,
Damage Contribution,871.66 DPAV (10.9% of total),838.29 DPAV (7.5% of total),944.31 DPAV (13.6% of total),851.91 DPAV (16.2% of total),




Out of combat stats
Lightcone: ,ConcertForTwo
Relic Set Bonuses: ,|2 PC Knight of Purity|2 PC Duke|BrokenKeel|
HP: ,2861.0
ATK: ,1168.0
DEF: ,4006.9119
SPD: ,149.4
CRIT RATE: ,34.0%
CRIT DMG: ,90.600006%
Effect Hit Rate: ,0.0%
Effect RES: ,20.0%
Break Effect: ,0.0%
ELEMENT DMG: ,14.4%
ERR: ,0.0%

