2 Enemies weak to everything with 150 Speed (Each enemy performs 1.33 attacks per turn)

Feixiao Metrics,Feixiao | Robin | Aventurine | Topaz,
Turns taken,10,
Skills Used,10,
Basic Attacks Used,0,
Ultimates Used,8,
Leftover AV,33.94,
Leftover Energy,3.00 (Flying Aureus),
Follow up Attacks used,21,
Amount of Talent Stacks gained,51,
Amount of overcapped Stacks,0,
Damage Contribution,6709.95 DPAV (60.0% of total),




Out of combat stats
Lightcone: ,I Venture Forth to Hunt
Relic Set Bonuses: ,|4 PC Wind Soaring Valorous|DuranDynastyOfRunningWolves|
HP: ,2706.0
ATK: ,2618.184
DEF: ,957.375
SPD: ,137.0
CRIT RATE: ,87.8%
CRIT DMG: ,154.4%
Effect Hit Rate: ,0.0%
Effect RES: ,0.0%
Break Effect: ,0.0%
ELEMENT DMG: ,38.8%
ERR: ,0.0%

