2 Enemies weak to everything with 150 Speed (Each enemy performs 1.33 attacks per turn)

Huohuo Metrics,Huohuo | Yunli | Robin | Topaz,
Turns taken,10,
Skills Used,5,
Basic Attacks Used,5,
Ultimates Used,4,
Leftover AV,31.52,
Leftover Energy,44.68,
Number of Talent Procs,51,
Damage Contribution,19.51 DPAV (0.3% of total),




Out of combat stats
Lightcone: ,PostOpConversation
Relic Set Bonuses: ,|4 PC Passerby|BrokenKeel|
HP: ,6063.272
ATK: ,1377.0
DEF: ,840.0
SPD: ,139.5
CRIT RATE: ,5.0%
CRIT DMG: ,50.0%
Effect Hit Rate: ,0.0%
Effect RES: ,31.8%
Break Effect: ,0.0%
ELEMENT DMG: ,0.0%
ERR: ,35.4%

