2 Enemies weak to everything with 150 Speed (Each enemy performs 1.33 attacks per turn)

Moze Metrics,Moze | Robin | Aventurine | Topaz,
Turns taken,3,
Skills Used,3,
Basic Attacks Used,0,
Ultimates Used,2,
Leftover AV,72.07,
Leftover Energy,113.00,
Number of Follow Up Attacks Used,11,
Talent Extra Damage Procs,27,
Damage Contribution,1757.78 DPAV (33.3% of total),




Out of combat stats
Lightcone: ,WorrisomeBlissful
Relic Set Bonuses: ,|PioneerDiverOfDeadWaters|DuranDynastyOfRunningWolves|
HP: ,2760.9001
ATK: ,2768.008
DEF: ,816.0
SPD: ,111.0
CRIT RATE: ,88.4%
CRIT DMG: ,168.5%
Effect Hit Rate: ,0.0%
Effect RES: ,0.0%
Break Effect: ,0.0%
ELEMENT DMG: ,38.8%
ERR: ,0.0%

