2 Enemies weak to everything with 150 Speed (Each enemy performs 1.33 attacks per turn)

Yunli Metrics,Huohuo | Yunli | Robin | Topaz,
Turns taken,7,
Skills Used,7,
Basic Attacks Used,0,
Ultimates Used,9,
Leftover AV,66.22,
Leftover Energy,52.00,
Normal Counters,8,
Number of Culls (1 S1 stack),4,
Number of Culls (2 S1 stacks),6,
Number of Slashes,0,
Damage Contribution,4934.43 DPAV (63.8% of total),




Out of combat stats
Lightcone: ,DanceAtSunset
Relic Set Bonuses: ,|4 PC Wind Soaring Valorous|DuranDynastyOfRunningWolves|
HP: ,3555.8801
ATK: ,3206.9038
DEF: ,924.0
SPD: ,94.0
CRIT RATE: ,87.8%
CRIT DMG: ,149.8%
Effect Hit Rate: ,0.0%
Effect RES: ,0.0%
Break Effect: ,0.0%
ELEMENT DMG: ,38.8%
ERR: ,0.0%

